Question,Option A,Option B,Option C,Option D,Correct Answer (0-3),Points
Ngon ngu lap trinh nao duoc su dung pho bien nhat trong phat trien web?,Python,JavaScript,C++,Ruby,1,10
HTML la viet tat cua gi?,Hyper Text Markup Language,High Tech Modern Language,Hyper Transfer Markup Language,Home Tool Markup Language,0,10
CSS dung de lam gi trong web?,Xu ly logic phia server,Dinh dang giao dien trang web,Quan ly co so du lieu,Tao API,1,10
Framework nao sau day la cua JavaScript?,Django,Laravel,React,Spring,2,10
HTTP status code 404 co y nghia gi?,Server Error,Unauthorized,Forbidden,Not Found,3,10
SQL la viet tat cua gi?,Structured Query Language,Simple Query Language,Standard Query Language,System Query Language,0,10
Trong lap trinh huong doi tuong OOP co bao nhieu tinh chat chinh?,2,3,4,5,2,10
Cau truc du lieu nao hoat dong theo nguyen tac FIFO?,Stack,Queue,Tree,Graph,1,10
Git la cong cu dung de lam gi?,Thiet ke giao dien,Quan ly phien ban ma nguon,Quan ly co so du lieu,Test ung dung,1,10
Port mac dinh cua HTTP la bao nhieu?,21,80,443,8080,1,10
